Rank,Company Name,Ticker,Status,Note,Sector,Subsector,Filing Date,Revenue Millions,Revenue Growth Pct,Total Ai Mentions,Ai Count,Ml Count,Deep Learning Count,Neural Network Count,Genai Count,Llm Count,Gpt Count,Ai Classification,Benefit Quote,Risk Quote,All Quotes,Sec Url,Mentions Metadata
1,Walmart,WMT,has_10k,,Retailing,General Merchandisers,2024-03-15T00:00:00Z,611289.0,6.7,1,1,0,0,0,0,0,0,risk,,"Our strategy, which includes investments in eCommerce, technology, including the use of artificial intelligence technology, talent, supply chain automation, acquisitions, joint ventures, store remodels and other customer initiatives may not adequately or effectively allow us to continue to grow our eCommerce business, increase comparable sales, maintain or grow our overall market position or otherwise offset the impact on the growth of our business of a moderated pace of new store and club openings and sustain the current pace of remodels.","[{""text"": ""Our strategy, which includes investments in eCommerce, technology, including the use of artificial intelligence technology, talent, supply chain automation, acquisitions, joint ventures, store remodels and other customer initiatives may not adequately or effectively allow us to continue to grow our eCommerce business, increase comparable sales, maintain or grow our overall market position or otherwise offset the impact on the growth of our business of a moderated pace of new store and club openings and sustain the current pace of remodels."", ""type"": ""risk""}, {""text"": ""Because the techniques used to obtain unauthorized access, disable or degrade service, or sabotage systems or data change frequently and may not immediately produce signs of a compromise, we may be unable to anticipate these techniques or to implement adequate preventative measures, or detect the activities of a threat actor. Even if we detect a cybersecurity incident, the nature and extent of that cybersecurity incident may not be immediately clear. Based on the sophistication of the threat actors and the size and complexity of our information systems and networked environment, among other factors, an investigation into a cybersecurity incident could take a significant amount of time to complete."", ""type"": ""risk""}]",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WMT&type=10-K,"[{""term"":""artificial_intelligence"",""section_num"":""1A"",""section_name"":""Risk Factors"",""position"":89703}]"
2,Amazon,AMZN,has_10k,,Retailing,Internet Services and Retailing,2024-02-02T00:00:00Z,574785.0,11.8,15,9,6,0,0,0,0,0,both,"We believe that advances in technology, specifically the speed and reduced cost of processing power, data storage and analytics, improved wireless connectivity, and the practical applications of artificial intelligence and machine learning, will continue to improve users' experience on the internet and increase its ubiquity in people's lives.","For example, we rely on a limited group of suppliers for semiconductor products, including products related to artificial intelligence infrastructure such as graphics processing units. Constraints on the availability of these products could adversely affect our ability to develop and operate artificial intelligence technologies, products, or services.","[{""text"": ""We believe that advances in technology, specifically the speed and reduced cost of processing power, data storage and analytics, improved wireless connectivity, and the practical applications of artificial intelligence and machine learning, will continue to improve users' experience on the internet and increase its ubiquity in people's lives."", ""type"": ""benefit""}, {""text"": ""For example, we rely on a limited group of suppliers for semiconductor products, including products related to artificial intelligence infrastructure such as graphics processing units. Constraints on the availability of these products could adversely affect our ability to develop and operate artificial intelligence technologies, products, or services."", ""type"": ""risk""}]",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN&type=10-K,"[{""term"":""machine_learning"",""section_num"":""16"",""section_name"":""Form"",""position"":37090},{""term"":""artificial_intelligence"",""section_num"":""7"",""section_name"":""of Part II"",""position"":49879},{""term"":""machine_learning"",""section_num"":""7"",""section_name"":""of Part II"",""position"":49907},{""term"":""artificial_intelligence"",""section_num"":""7"",""section_name"":""of Part II"",""position"":64344},{""term"":""artificial_intelligence"",""section_num"":""7"",""section_name"":""of Part II"",""position"":69108},{""term"":""machine_learning"",""section_num"":""7"",""section_name"":""of Part II"",""position"":69136},{""term"":""artificial_intelligence"",""section_num"":""7"",""section_name"":""of Part II"",""position"":81201},{""term"":""artificial_intelligence"",""section_num"":""7"",""section_name"":""of Part II"",""position"":81383},{""term"":""artificial_intelligence"",""section_num"":""7"",""section_name"":""of Part II"",""position"":93935},{""term"":""artificial_intelligence"",""section_num"":""7"",""section_name"":""of Part II"",""position"":95306},{""term"":""artificial_intelligence"",""section_num"":""7"",""section_name"":""of Part II"",""position"":98471},{""term"":""artificial_intelligence"",""section_num"":""1A"",""section_name"":""of Part I"",""position"":120608},{""term"":""machine_learning"",""section_num"":""1A"",""section_name"":""of Part I"",""position"":120636},{""term"":""machine_learning"",""section_num"":""1A"",""section_name"":""of Part I"",""position"":120973},{""term"":""machine_learning"",""section_num"":""8"",""section_name"":""of Part II"",""position"":186302}]"
3,Apple,AAPL,has_10k,,Technology,"Computers, Office Equipment",2024-11-01T00:00:00Z,383285.0,-2.8,5,3,2,0,0,0,0,0,both,"Apple Intelligence™, a personal intelligence system that uses generative models.","The introduction of new and complex technologies, such as artificial intelligence features, can increase these and other safety risks, including exposing users to harmful, inaccurate or other negative content and experiences.","[{""text"": ""Apple Intelligence\u2122, a personal intelligence system that uses generative models."", ""type"": ""benefit""}, {""text"": ""The introduction of new and complex technologies, such as artificial intelligence features, can increase these and other safety risks, including exposing users to harmful, inaccurate or other negative content and experiences."", ""type"": ""risk""}]",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL&type=10-K,"[{""term"":""artificial_intelligence"",""section_num"":""1A"",""section_name"":""of this Form"",""position"":61576},{""term"":""machine_learning"",""section_num"":""1A"",""section_name"":""of this Form"",""position"":86821},{""term"":""artificial_intelligence"",""section_num"":""1A"",""section_name"":""of this Form"",""position"":86842},{""term"":""machine_learning"",""section_num"":""1A"",""section_name"":""of this Form"",""position"":88208},{""term"":""artificial_intelligence"",""section_num"":""1A"",""section_name"":""of this Form"",""position"":88229}]"
4,UnitedHealth Group,UNH,has_10k,,Health Care,Health Care: Insurance and Managed Care,2024-02-28T00:00:00Z,371622.0,14.6,19,16,1,0,0,2,0,0,both,"We anticipate that fast-evolving AI/ML technologies, including generative AI, will play an increasingly important role in our information systems and customer-facing technology products.","Any inadequacy or failure in compliance with our responsible use of AI/ML policies and procedures or emerging laws, regulations and standards governing AI/ML use could cause our technology products not to operate as intended or to produce outcomes that could have a material and adverse effect on our business, reputation, results of operations, financial position and cash flows.","[{""text"": ""We anticipate that fast-evolving AI/ML technologies, including generative AI, will play an increasingly important role in our information systems and customer-facing technology products."", ""type"": ""benefit""}, {""text"": ""Any inadequacy or failure in compliance with our responsible use of AI/ML policies and procedures or emerging laws, regulations and standards governing AI/ML use could cause our technology products not to operate as intended or to produce outcomes that could have a material and adverse effect on our business, reputation, results of operations, financial position and cash flows."", ""type"": ""risk""}]",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNH&type=10-K,"[{""term"":""artificial_intelligence"",""section_num"":""16"",""section_name"":""Form"",""position"":99015},{""term"":""machine_learning"",""section_num"":""16"",""section_name"":""Form"",""position"":99043},{""term"":""AI"",""section_num"":""16"",""section_name"":""Form"",""position"":99061},{""term"":""AI"",""section_num"":""16"",""section_name"":""Form"",""position"":100477},{""term"":""AI"",""section_num"":""16"",""section_name"":""Form"",""position"":100552},{""term"":""generative_AI"",""section_num"":""16"",""section_name"":""Form"",""position"":100582},{""term"":""AI"",""section_num"":""16"",""section_name"":""Form"",""position"":100593},{""term"":""AI"",""section_num"":""16"",""section_name"":""Form"",""position"":100856},{""term"":""AI"",""section_num"":""16"",""section_name"":""Form"",""position"":102381},{""term"":""AI"",""section_num"":""16"",""section_name"":""Form"",""position"":104298},{""term"":""generative_AI"",""section_num"":""16"",""section_name"":""Form"",""position"":104328},{""term"":""AI"",""section_num"":""16"",""section_name"":""Form"",""position"":104339},{""term"":""AI"",""section_num"":""16"",""section_name"":""Form"",""position"":153569},{""term"":""AI"",""section_num"":""16"",""section_name"":""Form"",""position"":154218},{""term"":""AI"",""section_num"":""16"",""section_name"":""Form"",""position"":156735},{""term"":""AI"",""section_num"":""16"",""section_name"":""Form"",""position"":157059},{""term"":""AI"",""section_num"":""16"",""section_name"":""Form"",""position"":157200},{""term"":""AI"",""section_num"":""16"",""section_name"":""Form"",""position"":157316},{""term"":""AI"",""section_num"":""16"",""section_name"":""Form"",""position"":157400}]"
5,Berkshire Hathaway,BRKA,has_10k,,Financials,Insurance: Property and Casualty (Stock),2024-02-26T00:00:00Z,364482.0,20.7,0,0,0,0,0,0,0,0,no_ai_mention,,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRK&type=10-K,
6,CVS Health,CVS,has_10k,,Health Care,Health Care: Pharmacy and Other Services,2024-02-07T00:00:00Z,357776.0,10.9,4,3,1,0,0,0,0,0,benefit,"The Company is making concerted investments in emerging technology capabilities such as voice, artificial intelligence and robotics to further automate, reduce cost and improve the experience for all of its constituents.",,"[{""text"": ""The Company is making concerted investments in emerging technology capabilities such as voice, artificial intelligence and robotics to further automate, reduce cost and improve the experience for all of its constituents."", ""type"": ""benefit""}, {""text"": ""Canopy leverages artificial intelligence and machine learning capabilities to create and refine a clinical rules engine (predictive models and prescriptive algorithms) that informs care delivery and addresses hospital admissions and readmissions, medical costs and patient retention."", ""type"": ""benefit""}]",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVS&type=10-K,"[{""term"":""artificial_intelligence"",""section_num"":""1"",""section_name"":""for further discussion of star ratings"",""position"":134587},{""term"":""artificial_intelligence"",""section_num"":""1"",""section_name"":""for further discussion of the decrease in the Comp"",""position"":173944},{""term"":""artificial_intelligence"",""section_num"":""1"",""section_name"":""for further discussion of the decrease in the Comp"",""position"":175254},{""term"":""machine_learning"",""section_num"":""1"",""section_name"":""for further discussion of the decrease in the Comp"",""position"":175282}]"
7,Exxon Mobil,XOM,has_10k,,Energy,Petroleum Refining,2024-02-28T00:00:00Z,344582.0,-16.7,0,0,0,0,0,0,0,0,no_ai_mention,"The company sees additional opportunities in areas such as supply chain efficiency, improved maintenance and turnarounds, modernized data management, and simplified business processes.",,"[{""text"": ""The company sees additional opportunities in areas such as supply chain efficiency, improved maintenance and turnarounds, modernized data management, and simplified business processes."", ""type"": ""benefit""}, {""text"": ""To remain competitive, we must also continuously adapt and capture the benefits of new and emerging technologies, including successfully applying advances in the ability to process very large amounts of data to our businesses."", ""type"": ""benefit""}]",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XOM&type=10-K,
8,Alphabet,GOOGL,has_10k,,Technology,Internet Services and Retailing,2024-01-31T00:00:00Z,307394.0,8.7,123,115,2,1,1,4,0,0,both,"In December 2023, we launched Gemini, our most capable and general model. It was built from the ground up to be multimodal, which means it can generalize and seamlessly understand, operate across, and combine different types of information, including text, code, audio, images, and video. Our teams across Alphabet will leverage Gemini, as well as other AI models we have previously developed and announced, across our business to deliver the best product and service experiences for our users, advertisers, partners, customers, and developers.","Issues in the development and use of AI may result in reputational harm and increased liability exposure. Our evolving AI-related efforts may give rise to risks related to harmful content, inaccuracies, discrimination, intellectual property infringement or misappropriation, defamation, data privacy, cybersecurity, and other issues. As a result of these and other challenges associated with innovative technologies, our implementation of AI systems could subject us to competitive harm, regulatory action, legal liability (including under new and proposed legislation and regulations), new applications of existing data protection, privacy, intellectual property, and other laws, and brand or reputational harm.","[{""text"": ""In December 2023, we launched Gemini, our most capable and general model. It was built from the ground up to be multimodal, which means it can generalize and seamlessly understand, operate across, and combine different types of information, including text, code, audio, images, and video. Our teams across Alphabet will leverage Gemini, as well as other AI models we have previously developed and announced, across our business to deliver the best product and service experiences for our users, advertisers, partners, customers, and developers."", ""type"": ""benefit""}, {""text"": ""Issues in the development and use of AI may result in reputational harm and increased liability exposure. Our evolving AI-related efforts may give rise to risks related to harmful content, inaccuracies, discrimination, intellectual property infringement or misappropriation, defamation, data privacy, cybersecurity, and other issues. As a result of these and other challenges associated with innovative technologies, our implementation of AI systems could subject us to competitive harm, regulatory action, legal liability (including under new and proposed legislation and regulations), new applications of existing data protection, privacy, intellectual property, and other laws, and brand or reputational harm."", ""type"": ""risk""}]",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL&type=10-K,"[{""term"":""artificial_intelligence"",""section_num"":""16"",""section_name"":""Form"",""position"":39745},{""term"":""AI"",""section_num"":""16"",""section_name"":""Form"",""position"":39770},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":44046},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":44069},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":45945},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":45969},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":46148},{""term"":""machine_learning"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":46277},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":46399},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":46741},{""term"":""deep_learning"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":46753},{""term"":""neural_network"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":46809},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":47283},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":47306},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":47342},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":47411},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":47899},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":48075},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":48260},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":48658},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":48718},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":48832},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":49215},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":49433},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":49493},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":49600},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":50030},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":50324},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":50438},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":50513},{""term"":""generative_AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":50609},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":50620},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":50693},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":50735},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":51026},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":51033},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":51282},{""term"":""generative_AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":51348},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":51359},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":51450},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":51612},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":51783},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":52063},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":52174},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":52344},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":52573},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":52765},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":52880},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":52902},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":53083},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":53596},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":53815},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":57440},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":58159},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":58311},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":60709},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":61007},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":61134},{""term"":""machine_learning"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":61598},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":61770},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":62017},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":62213},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":62331},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":62352},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":62384},{""term"":""generative_AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":62480},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":62491},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":62564},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":62606},{""term"":""AI"",""section_num"":""1"",""section_name"":""BUSINESS"",""position"":64435},{""term"":""AI"",""section_num"":""1A"",""section_name"":""Risk Factors of this Annual Report on Form"",""position"":73102},{""term"":""AI"",""section_num"":""1A"",""section_name"":""RISK FACTORS"",""position"":80775},{""term"":""generative_AI"",""section_num"":""1A"",""section_name"":""RISK FACTORS"",""position"":80819},{""term"":""AI"",""section_num"":""1A"",""section_name"":""RISK FACTORS"",""position"":80830},{""term"":""AI"",""section_num"":""1A"",""section_name"":""RISK FACTORS"",""position"":80861},{""term"":""AI"",""section_num"":""1A"",""section_name"":""RISK FACTORS"",""position"":80909},{""term"":""AI"",""section_num"":""1A"",""section_name"":""RISK FACTORS"",""position"":81178},{""term"":""AI"",""section_num"":""1A"",""section_name"":""RISK FACTORS"",""position"":81403},{""term"":""AI"",""section_num"":""1A"",""section_name"":""RISK FACTORS"",""position"":81698},{""term"":""AI"",""section_num"":""1A"",""section_name"":""RISK FACTORS"",""position"":83054},{""term"":""AI"",""section_num"":""1A"",""section_name"":""RISK FACTORS"",""position"":84727},{""term"":""AI"",""section_num"":""1A"",""section_name"":""RISK FACTORS"",""position"":86276},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":105375},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":105458},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":105778},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":106066},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":106158},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":106396},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":106519},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":108451},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":108519},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":108622},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":116916},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":121831},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":122891},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":122966},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":123225},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":123385},{""term"":""artificial_intelligence"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":123552},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":126288},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":126346},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":126495},{""term"":""AI"",""section_num"":""7"",""section_name"":""of this Annual Report on Form"",""position"":127594},{""term"":""AI"",""section_num"":""8"",""section_name"":""of this Annual Report on Form"",""position"":165935},{""term"":""AI"",""section_num"":""8"",""section_name"":""of this Annual Report on Form"",""position"":165977},{""term"":""AI"",""section_num"":""8"",""section_name"":""of this Annual Report on Form"",""position"":168382},{""term"":""AI"",""section_num"":""8"",""section_name"":""of this Annual Report on Form"",""position"":168655},{""term"":""AI"",""section_num"":""8"",""section_name"":""of this Annual Report on Form"",""position"":176445},{""term"":""AI"",""section_num"":""8"",""section_name"":""of this Annual Report on Form"",""position"":176472},{""term"":""AI"",""section_num"":""8"",""section_name"":""of this Annual Report on Form"",""position"":176498},{""term"":""AI"",""section_num"":""8"",""section_name"":""of this Annual Report on Form"",""position"":176520},{""term"":""AI"",""section_num"":""8"",""section_name"":""of this Annual Report on Form"",""position"":176749},{""term"":""AI"",""section_num"":""8"",""section_name"":""of this Annual Report on Form"",""position"":208105},{""term"":""AI"",""section_num"":""8"",""section_name"":""of this Annual Report on Form"",""position"":209226},{""term"":""AI"",""section_num"":""8"",""section_name"":""FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA"",""position"":257677},{""term"":""AI"",""section_num"":""8"",""section_name"":""FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA"",""position"":257704},{""term"":""AI"",""section_num"":""8"",""section_name"":""FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA"",""position"":257730},{""term"":""AI"",""section_num"":""8"",""section_name"":""FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA"",""position"":257752},{""term"":""AI"",""section_num"":""8"",""section_name"":""FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA"",""position"":257981},{""term"":""artificial_intelligence"",""section_num"":""8"",""section_name"":""FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA"",""position"":357093},{""term"":""AI"",""section_num"":""8"",""section_name"":""FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA"",""position"":357118},{""term"":""AI"",""section_num"":""8"",""section_name"":""FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA"",""position"":357450},{""term"":""AI"",""section_num"":""8"",""section_name"":""FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA"",""position"":357527}]"
9,McKesson,MCK,has_10k,,Health Care,Wholesalers: Health Care,2024-05-08T00:00:00Z,276711.0,4.8,11,10,1,0,0,0,0,0,both,"We invest in new and existing distribution centers to increase scale and capacity, improve efficiency through automation and technology, and enhance regulatory compliance capabilities. Additionally, we invest in data and analytics to support our growth priorities, including artificial intelligence (&#8220;AI&#8221;). We are in the early stages of exploring potential AI capabilities and related data and analytics across our enterprise to improve productivity and efficiency, as well as enhance our products and services to better support patients, employees, and customers.","The risk and efficacy of cyberattacks increases from time to time due to a variety of internal and external factors, including the adoption of sophisticated and rapidly evolving techniques, such as adversarial AI, and during political tensions, military conflicts, or civil unrest. A cybersecurity incident might involve a material data breach or other material impact to the confidentiality, integrity, availability, and operations of our technology systems or data, which might result in harm to patients, consumers, or employees; litigation or regulatory action; disruption of our business operations; loss of customers or revenue; cash flow impacts; and increased expense.","[{""text"": ""We invest in new and existing distribution centers to increase scale and capacity, improve efficiency through automation and technology, and enhance regulatory compliance capabilities. Additionally, we invest in data and analytics to support our growth priorities, including artificial intelligence (&#8220;AI&#8221;). We are in the early stages of exploring potential AI capabilities and related data and analytics across our enterprise to improve productivity and efficiency, as well as enhance our products and services to better support patients, employees, and customers."", ""type"": ""benefit""}, {""text"": ""The risk and efficacy of cyberattacks increases from time to time due to a variety of internal and external factors, including the adoption of sophisticated and rapidly evolving techniques, such as adversarial AI, and during political tensions, military conflicts, or civil unrest. A cybersecurity incident might involve a material data breach or other material impact to the confidentiality, integrity, availability, and operations of our technology systems or data, which might result in harm to patients, consumers, or employees; litigation or regulatory action; disruption of our business operations; loss of customers or revenue; cash flow impacts; and increased expense."", ""type"": ""risk""}]",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCK&type=10-K,"[{""term"":""artificial_intelligence"",""section_num"":""1"",""section_name"":""Index"",""position"":92474},{""term"":""AI"",""section_num"":""1"",""section_name"":""Index"",""position"":92506},{""term"":""AI"",""section_num"":""1"",""section_name"":""Index"",""position"":92568},{""term"":""AI"",""section_num"":""1"",""section_name"":""Index"",""position"":113184},{""term"":""AI"",""section_num"":""1C"",""section_name"":""of Part I below, technology systems and operations"",""position"":135955},{""term"":""AI"",""section_num"":""1C"",""section_name"":""of Part I below, technology systems and operations"",""position"":139016},{""term"":""AI"",""section_num"":""1A"",""section_name"":""Index"",""position"":148003},{""term"":""AI"",""section_num"":""1A"",""section_name"":""Index"",""position"":148051},{""term"":""machine_learning"",""section_num"":""1A"",""section_name"":""Index"",""position"":148291},{""term"":""AI"",""section_num"":""1A"",""section_name"":""Index"",""position"":148312},{""term"":""AI"",""section_num"":""1A"",""section_name"":""Index"",""position"":154705}]"
10,Cencora,COR,has_10k,,Health Care,Wholesalers: Health Care,2024-11-26T00:00:00Z,262173.4,,3,3,0,0,0,0,0,0,both,"We are deeply committed to diversion control efforts, have sophisticated systems to identify orders placed warranting further review to determine if they are suspicious (including through the use of data analytics), and engage in due diligence and ongoing monitoring of customers.","For example, as Artificial Intelligence (""AI"") continues to evolve, cyber-attackers could also use AI to develop malicious code and sophisticated phishing attempts.","[{""text"": ""For example, as Artificial Intelligence (\""AI\"") continues to evolve, cyber-attackers could also use AI to develop malicious code and sophisticated phishing attempts."", ""type"": ""risk""}, {""text"": ""We are deeply committed to diversion control efforts, have sophisticated systems to identify orders placed warranting further review to determine if they are suspicious (including through the use of data analytics), and engage in due diligence and ongoing monitoring of customers."", ""type"": ""benefit""}]",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COR&type=10-K,"[{""term"":""artificial_intelligence"",""section_num"":""1A"",""section_name"":""Risk Factors"",""position"":99185},{""term"":""AI"",""section_num"":""1A"",""section_name"":""Risk Factors"",""position"":99211},{""term"":""AI"",""section_num"":""1A"",""section_name"":""Risk Factors"",""position"":99268}]"
